No,Student ID,First Name,Last Name,Gender,Date of Birth,Social ID,Class,Credit
1,19125001,Chu Duc,An,1,8/22/2001,4357838,19CTT2,5
2,19125002,Nguyen Ngoc,Cuong,1,1/25/2001,4474498,19CTT2,106
3,19125003,Huynh Lam Hai,Dang,0,10/18/2001,1435978,19CTT2,15
4,19125006,Le Dinh,Hai,1,12/29/2001,4377005,19CTT2,58
5,19125007,Le Thao,Huyen,0,5/5/2001,6208906,19CTT2,72
6,19125010,Bui Quang,Minh,0,12/8/2001,8732256,19CTT2,12
7,19125011,Khau Dang Nhat,Minh,1,7/20/2001,985673,19CTT2,60
8,19125014,Ho Thi Ngoc,Phuong,0,10/2/2001,5052296,19CTT2,60
9,19125017,Nguyen Lam,Tuong,0,10/28/2001,9577042,19CTT2,89
10,19125031,Phan Van,Phat,1,9/14/2001,2680803,19CTT2,154
11,19125038,Huynh Gia,Dat,0,7/28/2001,2687950,19CTT2,88
12,19125043,Vu Thien,Hoang,1,5/13/2001,4564506,19CTT2,102
