No,Student ID,First Name,Last Name,Gender,Date of Birth,Social ID,Class,Credit
1,19125021,Nguyen Thanh,Dat,1,7/19/2001,554983,19CTT1,29
2,19125024,Mai Quoc,Khanh,0,12/5/2001,597150,19CTT1,12
3,19125033,Nguyen Ngoc Bang,Tam,0,8/18/2001,59405,19CTT1,4
4,19125034,Cao Thien,Tri,1,5/27/2001,360811,19CTT1,151
5,19125039,Dinh Dang,Dinh,1,3/8/2001,326621,19CTT1,151
6,19125047,Bui Quang,Huy,1,1/13/2001,856909,19CTT1,18
7,19125054,Quach Minh,Khoi,0,10/15/2001,696493,19CTT1,93
8,19125059,Trinh Van,Minh,1,3/29/2001,791726,19CTT1,129
9,19125060,Nguyen Thanh,Ngan,1,4/16/2001,885166,19CTT1,104
10,19125075,Lam Bich,Van,0,7/5/2001,189710,19CTT1,21
11,19125076,Nguyen Phu,Van,0,1/21/2001,887833,19CTT1,45
12,19125077,Pham Quang,Vu,0,11/29/2001,636764,19CTT1,13
13,19125080,Duong Bao,Chan,1,1/12/2001,420413,19CTT1,87
14,19125083,Thai Ngoc Thanh,Dat,0,7/15/2001,151337,19CTT1,103
15,19125084,Tran Hai Anh,Dien,0,2/24/2001,611949,19CTT1,138
16,19125087,Vo Khuong,Duy,1,9/6/2001,47097,19CTT1,154
17,19125089,Pham Thi Ngoc,Ha,0,7/14/2001,498608,19CTT1,150
18,19125091,Nguyen Hoang,Hieu,0,8/14/2001,327703,19CTT1,124
19,19125094,Nguyen Cung Hoang,Huy,1,1/2/2001,998662,19CTT1,86
20,19125095,Phan Dinh,Huy,1,11/23/2001,616552,19CTT1,28
